id_user_role_has_module_has_component,created_by,created_on,updated_by,updated_on,user_role_has_module_id_user_role_has_module,component_id_component
,admin,11/10/2024 5:01,,,1,1
,admin,11/10/2024 5:01,,,1,2
,admin,11/10/2024 5:01,,,2,5
,admin,11/10/2024 5:01,,,3,3
,admin,11/10/2024 5:01,,,3,4
,admin,11/10/2024 5:01,,,4,6
,admin,11/10/2024 5:01,,,5,7
,admin,11/10/2024 5:01,,,5,8
,admin,11/10/2024 5:01,,,5,9
,admin,11/10/2024 5:01,,,5,10
,admin,11/10/2024 5:01,,,5,11
,admin,11/10/2024 5:01,,,5,12
,admin,11/10/2024 5:01,,,5,13
,admin,11/10/2024 5:01,,,5,14
,admin,11/10/2024 5:01,,,5,15
,admin,11/10/2024 5:01,,,5,16
,admin,11/10/2024 5:01,,,5,17
,admin,11/10/2024 5:01,,,5,18
,admin,11/10/2024 5:01,,,5,19
,admin,11/10/2024 5:01,,,6,20
,admin,11/10/2024 5:01,,,7,44
,admin,11/10/2024 5:01,,,8,21
,admin,11/10/2024 5:01,,,9,22
