id_user_role_has_module_has_component_has_element,created_by,created_on,updated_by,updated_on,user_role_has_module_has_component_id_user_role_has_module_has_,component_element_id_component_element
,admin,11/10/2024 5:01,,,20,1
,admin,11/10/2024 5:01,,,20,2
,admin,11/10/2024 5:01,,,20,3
,admin,11/10/2024 5:01,,,20,4
,admin,11/10/2024 5:01,,,20,5
,admin,11/10/2024 5:01,,,21,6
,admin,11/10/2024 5:01,,,21,7
,admin,11/10/2024 5:01,,,22,8
,admin,11/10/2024 5:01,,,22,9
,admin,11/10/2024 5:01,,,22,10
,admin,11/10/2024 5:01,,,22,11
,admin,11/10/2024 5:01,,,22,12
,admin,11/10/2024 5:01,,,22,13
,admin,11/10/2024 5:01,,,22,14
,admin,11/10/2024 5:01,,,22,15
,admin,11/10/2024 5:01,,,23,16
,admin,11/10/2024 5:01,,,23,17
,admin,11/10/2024 5:01,,,23,18
